Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,ETFdb Pro Tools,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
IGHG,ProShares Investment Grade-Interest Rate Hedged,Bond,"$197,982,697.00",-3.99%,"13,068",$72.51,0.24%,No,No,1.17%,1.00%,1.06%,5.15%,18.54%,"-$47,151,211.50","-$3,561,092.50","-$3,561,092.50","-$77,284,502.00","-$135,395,696.50","$56,381,249.50",Corporate Bonds,2013-11-05,0.30%,Charles Schwab,$2.34,2020-10-01,$0.18,3.24%,0.00,0.42,254,17.05%,35%,15%,1099,$70.73,$72.42,$71.88,$72.83,57.47,B-,B,C+,C,C+,A,B-,5.1,1.33%,32.34%,117.89,7.94%,1.20%
IBDT,iShares iBonds Dec 2028 Term Corporate ETF,Bond,"$197,815,532.00",7.31%,"35,050",$29.12,0.07%,No,No,0.10%,-0.13%,8.32%,N/A,N/A,"$65,986,628.00","$1,450,400.50","$8,756,285.00","$83,935,591.00","$174,122,552.00","$174,122,552.00",Corporate Bonds,2018-09-18,0.10%,N/A,$0.85,2020-10-01,$0.06,2.91%,0.00,0.26,293,14.51%,39%,20%,1099,$28.84,$29.50,$29.05,$29.19,50.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.38,57.41%,36.40%,317.84,10.71%,2.98%
FDG,American Century Focused Dynamic Growth ETF,Equity,"$195,935,904.00",N/A,N/A,N/A,0.00%,No,No,N/A,N/A,N/A,N/A,N/A,"$157,609,688.50",$0.00,"-$7,468,560.00","$157,609,688.50","$157,609,688.50","$157,609,688.50",Global Equities,2020-03-31,0.45%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39%,20%,1099,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.1,32.80%,53.77%,25.29,15.47%,11.15%
RWK,Invesco S&P MidCap 400 Revenue ETF,Equity,"$195,717,340.00",-8.66%,"7,964",$58.64,-0.41%,No,No,5.01%,6.92%,3.30%,4.83%,30.20%,"-$89,804,872.00",$0.00,"-$2,678,236.00","-$102,173,411.00","-$119,006,811.50","-$52,532,683.00",Small Cap Blend Equities,2008-02-22,0.39%,N/A,$0.77,2020-09-21,$0.14,1.32%,20.55,1.38,400,16.04%,35%,15%,1099,$51.38,$59.12,$58.48,$58.94,61.95,B,B-,C+,A+,C+,C+,B,4.23,39.84%,16.55%,162.72,5.23%,5.05%
PLW,Invesco 1-30 Laddered Treasury ETF,Bond,"$195,567,916.00",13.56%,"67,521",$38.85,-0.05%,No,No,-0.94%,-1.41%,10.60%,25.94%,30.16%,"$10,278,825.00",$0.00,"-$3,942,600.00","$16,312,850.00","-$6,837,251.50","-$96,882,791.50",Government Bonds,2007-10-11,0.25%,N/A,$0.47,2020-09-21,$0.02,1.20%,0.00,-0.19,27,48.04%,35%,15%,1099,$38.75,$39.74,$38.75,$38.91,39.83,B-,B-,C+,B-,B,A-,B-,6.58,32.79%,69.86%,2.9,0.00%,0.00%
SMLV,SPDR SSGA US Small Cap Low Volatility Index ETF,Equity,"$192,243,908.00",-17.90%,"21,311",$80.70,-0.21%,No,No,3.85%,4.43%,-11.15%,-9.52%,22.88%,"-$43,314,966.50","-$8,225,751.40","-$14,547,352.40","-$439,270.20","$51,259,939.60","$201,251,186.10",Volatility Hedged Equity,2013-02-20,0.12%,N/A,$2.08,2020-09-18,$0.24,2.58%,16.67,1.05,400,8.59%,35%,15%,1099,$72.93,$81.63,$80.28,$81.22,58.48,C+,B-,A,N/A,N/A,C,C,3.19,2.57%,7.65%,117.79,2.14%,5.76%
PAPR,Innovator S&P 500 Power Buffer ETF,N/A,"$191,687,040.00",3.09%,"31,412",$26.88,0.26%,No,No,1.16%,1.21%,3.82%,N/A,N/A,"$175,234,752.50",$0.00,"-$3,319,465.00","$130,283,970.00","$203,753,477.50","$203,753,477.50",N/A,2019-04-01,0.79%,N/A,N/A,N/A,N/A,N/A,0.00,0.38,505,27.96%,39%,20%,1099,$26.31,$26.86,$26.88,$26.89,61.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SIXH,6 Meridian Hedged Equity-Index Option Strategy ETF,Multi-Asset,"$191,448,306.00",N/A,"11,758",$26.49,0.23%,No,No,2.00%,3.37%,N/A,N/A,N/A,"$86,007,361.00",$0.00,"$646,666.00","$86,007,361.00","$86,007,361.00","$86,007,361.00",N/A,2020-05-11,0.84%,N/A,$0.16,2020-09-30,$0.02,0.60%,0.00,0.84,51,36.37%,N/A,N/A,N/A,$25.49,$26.52,N/A,N/A,61.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.7,27.55%,42.22%,42.23,6.44%,7.06%
FFTY,Innovator IBD 50 Fund,Equity,"$189,126,359.00",13.16%,"90,653",$39.30,1.45%,No,No,5.84%,9.14%,21.63%,21.78%,74.25%,"-$121,918,245.00",$0.00,"-$21,828,395.00","-$172,618,255.00","$131,209,323.00","$138,299,533.00",All Cap Equities,2015-04-09,0.80%,N/A,$0.00,2017-12-28,$0.06,0.00%,32.83,1.15,51,35.12%,39%,20%,1099,$35.10,$39.08,$39.06,$39.47,61.24,N/A,N/A,C+,N/A,N/A,N/A,N/A,4.3,10.53%,17.43%,33.91,0.49%,10.36%
TUR,iShares MSCI Turkey ETF,Equity,"$188,808,760.00",-26.05%,"261,297",$19.90,2.05%,No,No,0.76%,-1.24%,-17.18%,-48.13%,-44.43%,"-$97,694,322.50",$0.00,"$17,063,527.50","-$78,101,321.00","-$18,036,311.00","-$32,808,049.50",Emerging Markets Equities,2008-03-26,0.59%,N/A,$0.45,2020-06-15,$0.15,2.31%,7.53,0.85,42,58.34%,35%,15%,1099,$19.21,$20.37,$19.69,$20.07,47.31,B+,A-,B,A,C+,B,B-,2.11,0.16%,2.68%,318.56,7.48%,1.35%
GBF,iShares Government/Credit Bond ETF,Bond,"$188,308,743.00",7.37%,"62,036",$124.84,0.01%,No,No,-0.28%,-0.60%,7.17%,17.45%,22.39%,"$45,425,967.50","-$194,592,068.50","-$87,476,904.50","-$16,857,831.50","$14,518,582.00","-$26,698,052.00",Total Bond Market,2007-01-11,0.20%,N/A,$2.63,2020-09-01,$0.15,2.11%,0.00,0.01,1124,11.25%,35%,15%,1099,$124.58,$126.11,N/A,N/A,42.58,B+,B,B+,B+,B,B,B,6.09,88.21%,53.48%,296.65,4.71%,1.40%
HYGV,FlexShares High Yield Value-Scored Bond Index Fund,Bond,"$187,815,971.00",1.30%,"17,106",$46.86,0.21%,No,No,1.19%,0.50%,4.72%,N/A,N/A,"$48,316,101.00",$0.00,"$4,714,684.00","$136,690,748.50","$144,072,816.00","$144,072,816.00",High Yield Bonds,2018-07-17,0.37%,N/A,$2.95,2020-10-01,$0.26,6.31%,0.00,0.54,428,23.48%,39%,20%,1099,$45.78,$47.04,N/A,N/A,61.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.87,15.37%,5.58%,317.13,5.20%,2.64%
FLTB,Fidelity Limited Term Bond ETF,Bond,"$186,077,549.00",4.56%,"58,097",$52.52,-0.06%,No,No,-0.01%,-0.10%,4.89%,11.62%,15.50%,"$44,167,513.50",$0.00,"$5,250,948.50","$51,674,180.00","$76,706,490.00","$129,990,985.00",Total Bond Market,2014-10-06,0.36%,Fidelity,$1.02,2020-09-28,$0.05,1.94%,0.00,0.07,399,27.68%,35%,15%,1099,$52.42,$52.66,$52.45,$52.58,50.85,B,A-,C+,A-,A-,B-,B+,5.13,14.20%,32.63%,312.18,7.11%,1.40%
SPFF,Global X SuperIncome Preferred ETF,Preferred Stock,"$183,682,869.00",0.82%,"62,314",$11.30,0.00%,No,No,1.74%,2.74%,2.72%,9.80%,16.08%,"-$8,470,251.50",$0.00,"-$1,111,650.00","-$278,610.50","-$29,824,227.50","-$8,455,691.50",Preferred Stock/Convertible Bonds,2012-07-16,0.58%,Interactive Brokers,$0.67,2020-10-05,$0.06,5.96%,0.00,0.50,50,35.85%,35%,15%,1099,$10.91,$11.29,$11.27,$11.32,65.05,B-,C+,B,N/A,A,A+,C,4.05,4.55%,14.64%,134.05,0.00%,0.37%
NUMG,Nuveen ESG Mid-Cap Growth ETF,Equity,"$180,904,870.00",27.16%,"24,792",$44.85,0.88%,No,No,4.96%,10.41%,39.85%,69.28%,N/A,"$95,130,351.50",$0.00,"$8,407,661.50","$98,568,461.50","$136,476,491.50","$140,209,900.00",Mid Cap Growth Equities,2016-12-13,0.40%,N/A,$0.10,2019-12-27,$0.10,0.22%,49.90,1.15,59,25.42%,20%,39%,1099,$39.82,$44.64,$44.75,$45.01,65.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.96,99.50%,79.97%,23.7,1.63%,8.11%
CACG,ClearBridge All Cap Growth ETF,Equity,"$180,677,286.00",18.27%,"17,374",$40.74,0.87%,No,No,3.79%,5.56%,30.05%,55.45%,N/A,"$11,177,749.50",$0.00,$0.00,"$17,675,352.50","$97,202,596.50","$124,975,831.00",Large Cap Growth Equities,2017-05-03,0.54%,N/A,$0.04,2019-12-30,$0.04,0.09%,28.56,0.97,83,36.56%,39%,20%,1099,$37.87,$40.68,$40.53,$40.90,59.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.23,38.40%,58.26%,39.75,9.02%,11.66%
EWI,iShares MSCI Italy ETF,Equity,"$180,290,134.00",-13.54%,"546,921",$25.24,0.24%,No,No,3.15%,-1.64%,-6.09%,-9.55%,-2.66%,"-$118,259,901.75","-$23,591,236.50","-$17,816,715.00","-$20,749,521.75","-$610,225,197.75","-$824,462,086.50",Europe Equities,1996-03-12,0.49%,TD Ameritrade,$0.45,2020-06-15,$0.25,1.81%,13.85,0.93,28,66.90%,35%,15%,1099,$23.74,$25.94,$25.16,$25.32,51.88,B-,A,B,C+,C,B+,C+,7.49,20.96%,88.93%,304.03,26.34%,3.92%
TTAC,TrimTabs All Cap US Free-Cash-Flow ETF,Equity,"$180,023,800.00",9.16%,"35,182",$42.91,1.04%,No,No,4.10%,5.58%,17.49%,38.11%,N/A,"$49,730,145.00",$0.00,$0.00,"$46,834,862.50","$126,436,934.00","$152,847,531.50",Large Cap Growth Equities,2016-09-28,0.59%,N/A,$0.28,2019-12-30,$0.28,0.67%,27.79,1.07,91,19.21%,39%,20%,1099,$39.50,$42.81,$42.79,$43.00,60.94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.31,42.98%,61.36%,48.7,9.60%,5.74%
RTH,VanEck Vectors Retail ETF,Equity,"$179,412,048.00",28.17%,"13,561",$153.94,0.94%,No,No,2.80%,5.35%,36.17%,94.95%,118.72%,"$48,496,636.50",$0.00,"$14,699,948.50","$78,123,814.50","$73,999,268.50","-$76,247,882.00",Consumer Discretionary Equities,2011-12-20,0.35%,N/A,$1.09,2019-12-23,$1.09,0.71%,29.57,0.92,26,72.34%,35%,15%,1099,$142.26,$153.63,$153.33,$154.47,60.63,B+,A-,A-,B-,A,A,C,6.94,80.77%,79.73%,26.6,22.46%,0.67%
MORT,VanEck Vectors Mortgage REIT Income ETF,Real Estate,"$179,118,848.00",-35.79%,"82,774",$14.15,-1.60%,No,No,1.43%,4.91%,-30.99%,-25.81%,2.55%,"$56,502,123.00","-$689,321.00","-$670,859.00","$61,189,016.50","$116,892,859.50","$139,762,686.00",Real Estate,2011-08-16,0.42%,N/A,$1.64,2020-10-01,$0.34,11.44%,18.24,1.35,26,66.93%,35%,15%,1099,$13.19,$14.42,$14.03,$14.34,55.78,C,B+,B+,C,C,A,C,1.57,2.45%,1.31%,8.54,0.00%,0.00%
JKJ,iShares Morningstar Small-Cap ETF,Equity,"$179,103,990.00",-9.86%,"2,442",$167.92,0.20%,No,No,4.70%,6.50%,-0.19%,4.31%,35.38%,"-$22,228,910.00",$0.00,$0.00,"-$31,422,390.50","-$56,085,656.50","-$53,792,301.00",Small Cap Blend Equities,2004-06-28,0.25%,N/A,$2.58,2020-09-23,$0.68,1.54%,18.03,1.23,233,10.39%,35%,15%,1099,$149.60,$168.64,$167.87,$168.02,62.81,C+,C+,B+,B-,A-,B-,C+,3.68,15.47%,11.21%,152.38,2.93%,6.98%
FDD,First Trust STOXX European Select Dividend Index Fund,Equity,"$179,045,562.00",-19.03%,"91,762",$10.89,0.00%,No,No,4.46%,0.05%,-9.49%,-7.07%,7.57%,"-$56,529,049.50",$0.00,"-$8,169,838.00","-$50,221,372.00","-$260,148,521.50","$57,372,493.84",Europe Equities,2007-08-30,0.58%,N/A,$0.50,2020-09-24,$0.20,4.55%,8.48,0.84,31,45.30%,35%,15%,1099,$9.80,$11.16,$10.83,$10.96,56.66,B,B,C+,C+,A,A,C+,7.7,83.97%,91.49%,307.27,5.46%,5.05%
RTM,Invesco S&P 500® Equal Weight Materials ETF,Equity,"$178,682,574.00",8.99%,"12,545",$124.20,0.42%,No,No,6.39%,5.90%,20.77%,24.79%,71.57%,"$34,133,078.00",$0.00,"-$83,617.00","$28,800,982.00","$24,491,452.00","$78,910,681.00",Materials,2006-11-07,0.40%,Charles Schwab,$2.25,2020-09-21,$0.54,1.82%,17.89,1.19,29,37.50%,35%,15%,1099,$111.77,$124.93,$123.58,$125.06,62.72,B,B,B+,A-,A,B+,C+,5.99,48.00%,49.88%,618.39,3.47%,2.31%
FMAT,Fidelity MSCI Materials Index ETF,Equity,"$178,472,402.00",7.12%,"58,339",$36.10,0.64%,No,No,5.25%,3.09%,18.18%,13.93%,60.66%,"-$7,066,802.00","$1,712,337.00","$5,216,848.50","-$13,708,733.50","-$51,337,528.50","$112,966,425.00",Materials,2013-10-21,0.08%,Fidelity,$0.69,2020-09-18,$0.17,1.93%,24.20,1.24,112,55.15%,35%,15%,1099,$32.98,$36.52,$35.92,$36.29,60.08,N/A,N/A,A,N/A,N/A,N/A,N/A,6.45,65.33%,65.71%,701.47,3.49%,2.56%
DSTL,Distillate Fundamental Stability & Value ETF,Equity,"$178,290,750.00",10.10%,"35,027",$33.80,0.87%,No,No,3.97%,4.55%,24.23%,N/A,N/A,"$107,548,060.00",$0.00,"$4,860,922.50","$118,296,925.00","$155,714,242.50","$155,714,242.50",Large Cap Growth Equities,2018-10-24,0.39%,N/A,$0.30,2019-12-30,$0.30,0.89%,19.45,1.02,101,24.47%,39%,20%,1099,$31.47,$33.75,$33.72,$33.87,59.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.29,41.45%,60.39%,55.22,6.67%,7.34%
SBIO,ALPS Medical Breakthroughs ETF,Equity,"$177,352,485.00",5.65%,"21,205",$44.67,0.72%,No,No,10.13%,16.36%,41.72%,46.84%,64.51%,"-$32,263,386.50",$0.00,"-$2,041,739.50","-$22,356,329.50","$25,460,534.00","$7,300,555.50",Health & Biotech Equities,2014-12-30,0.50%,N/A,$0.02,2019-12-19,$0.02,0.04%,0.00,1.53,90,36.69%,35%,15%,1099,$39.01,$44.42,N/A,N/A,62.09,N/A,N/A,B-,N/A,N/A,N/A,N/A,3.01,16.30%,6.37%,26.86,0.00%,2.58%
SPGP,Invesco S&P 500 GARP ETF,Equity,"$177,142,440.00",0.93%,"37,557",$62.85,0.62%,No,No,5.35%,6.49%,15.38%,49.27%,102.63%,"-$302,044,575.00","-$2,907,357.50","-$21,170,400.50","-$98,072,460.50","-$102,030,279.50","-$102,030,279.50",Large Cap Growth Equities,2011-06-16,0.36%,N/A,$0.82,2020-09-21,$0.15,1.32%,16.35,1.19,76,20.47%,39%,20%,1099,$56.75,$62.66,$62.58,$63.09,62.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.13,34.34%,55.01%,46.45,2.84%,6.33%
POCT,Innovator S&P 500 Power Buffer ETF,Volatility,"$175,117,110.00",6.19%,"107,574",$26.76,0.45%,No,No,1.87%,2.82%,7.82%,N/A,N/A,"-$122,777,302.50","-$1,970,252.50","-$40,181,242.50","-$93,806,987.50","$163,626,085.00","$163,626,085.00",N/A,2018-10-01,0.79%,N/A,$0.00,N/A,N/A,0.00%,22.70,0.52,505,27.96%,39%,20%,1099,$25.86,$26.71,$26.63,$26.94,64.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
URTY,ProShares UltraPro Russell2000,Equity,"$174,478,963.00",-45.80%,"1,195,391",$46.23,1.54%,No,3x,20.02%,29.24%,-24.08%,-41.16%,14.74%,"$70,445,525.50","-$6,623,645.00","-$5,205,026.00","$69,590,207.00","$27,229,092.50","$122,566,967.50",Leveraged Equities,2010-02-09,0.95%,N/A,$0.12,2019-12-24,$0.12,0.26%,0.00,3.63,2018,3.77%,35%,15%,1099,$30.70,$45.92,$45.47,$47.00,64.31,B,B+,C,C+,B,N/A,N/A,3.61,3.03%,10.66%,135.65,3.01%,5.46%
CDL,VictoryShares US Large Cap High Dividend Volatility Weighted ETF,Equity,"$174,135,308.00",-13.58%,"15,892",$42.48,-0.31%,No,No,4.43%,4.52%,-5.17%,8.02%,43.49%,"-$169,497,442.50","-$2,020,510.50","-$6,138,191.00","-$172,256,643.50","$9,890,052.50","$123,728,331.50",Large Cap Value Equities,2015-07-07,0.35%,N/A,$1.57,2020-10-07,$0.15,3.68%,17.75,0.96,101,14.96%,35%,15%,1099,$38.78,$42.69,$42.31,$42.79,60.28,N/A,N/A,B+,N/A,N/A,N/A,N/A,6.24,38.62%,58.52%,667.46,14.27%,6.77%
BSJO,Invesco BulletShares 2024 High Yield Corporate Bond ETF,Bond,"$173,064,456.00",-0.85%,"87,698",$24.39,0.08%,No,No,0.95%,0.58%,1.96%,8.93%,N/A,"$50,366,052.00",$0.00,$0.00,"$83,037,142.00","$153,011,620.00","$173,230,876.00",High Yield Bonds,2016-09-14,0.42%,N/A,$1.17,2020-09-21,$0.09,4.79%,0.00,0.39,146,29.09%,39%,20%,1099,$23.92,$24.42,$24.34,$24.42,61.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.14,40.55%,7.21%,239.99,2.97%,3.42%
KBWY,Invesco KBW Premium Yield Equity REIT ETF,Real Estate,"$172,990,224.00",-34.89%,"96,121",$18.56,-1.28%,No,No,0.87%,4.72%,-30.86%,-37.07%,-14.02%,"-$246,288.00","$838,104.50","$10,898,951.50","-$21,091,136.00","$9,778,772.00","$252,336,383.00",Real Estate,2010-12-02,0.35%,N/A,$2.27,2020-09-21,$0.14,12.09%,-44.93,1.23,31,48.24%,35%,15%,1099,$16.70,$19.16,$18.40,$18.83,53.76,A,B,A-,A+,B-,A,C+,1.18,1.23%,0.68%,87.0,0.00%,8.13%
GHYG,iShares Global High Yield Corporate Bond ETF,Bond,"$171,981,654.00",1.19%,"20,752",$48.71,0.43%,No,No,1.65%,0.81%,4.91%,11.00%,27.51%,"-$1,874,677.00",$0.00,$0.00,"$3,015,449.00","-$22,952,288.00","$85,684,599.00",High Yield Bonds,2012-04-03,0.40%,N/A,$2.11,2020-10-01,$0.18,4.36%,0.00,0.47,1680,3.23%,35%,15%,1099,$47.23,$48.88,$48.59,$48.77,59.70,A,B-,A-,A-,B,A-,A,3.24,25.00%,7.94%,246.12,6.55%,2.41%
SCHI,Schwab 5-10 Year Corporate Bond ETF,Bond,"$171,771,694.00",7.46%,"18,791",$52.83,0.09%,No,No,0.10%,0.09%,8.53%,N/A,N/A,"$54,142,864.50","$2,638,202.00","-$2,666,481.00","$138,546,785.17","$138,546,785.17","$138,546,785.17",Corporate Bonds,2019-10-10,0.06%,N/A,$1.21,2020-10-01,$0.10,2.29%,0.00,0.30,895,4.81%,39%,20%,1099,$52.50,$53.05,$52.74,$52.88,53.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.2,41.83%,33.68%,234.19,8.44%,3.47%
FAD,First Trust Multi Cap Growth AlphaDEX Fund,Equity,"$171,673,467.00",19.00%,"7,115",$91.57,1.38%,No,No,4.96%,11.20%,27.25%,47.97%,90.41%,"-$26,446,062.50",$0.00,"-$4,203,113.50","-$30,315,377.50","$24,399,119.50","$26,723,088.00",All Cap Equities,2007-05-08,0.66%,N/A,$0.44,2020-09-24,$0.08,0.48%,30.22,1.11,673,5.57%,35%,15%,1099,$81.00,$91.18,$91.34,$91.69,66.55,B+,B,B-,B+,A-,C+,B+,4.72,64.58%,27.63%,59.24,3.65%,8.72%
PBP,Invesco S&P 500 BuyWrite ETF,Multi-Asset,"$171,053,474.00",-8.14%,"49,417",$19.56,0.93%,No,No,1.93%,2.98%,-3.46%,1.81%,19.08%,"-$77,899,620.50",$0.00,"-$2,891,434.50","-$85,539,949.00","-$103,940,765.00","-$105,489,151.00",Large Cap Blend Equities,2007-12-20,0.49%,N/A,$1.16,2020-09-21,$0.06,5.95%,22.70,0.66,505,28.52%,35%,15%,1099,$18.70,$19.52,$19.44,$19.62,61.19,A,A-,C,A-,A,A,A+,6.66,85.47%,72.69%,154.85,11.80%,5.96%
KBWP,Invesco KBW Property & Casualty Insurance ETF,Equity,"$170,931,211.00",-16.26%,"15,747",$58.71,-0.07%,No,No,3.24%,1.26%,-15.79%,7.29%,39.20%,"$94,985,176.00",$0.00,"-$77,946.00","$81,037,789.50","$81,752,248.50","$136,008,246.00",Financials Equities,2010-12-02,0.35%,N/A,$1.33,2020-09-21,$0.19,2.26%,12.72,0.68,25,61.50%,35%,15%,1099,$54.66,$59.28,$58.48,$58.98,54.14,B+,B,A-,B-,A+,B+,C,4.99,24.81%,31.00%,2.19,0.00%,0.00%
GSST,Goldman Sachs Access Ultra Short Bond ETF,Bond,"$170,027,995.00",1.40%,"39,432",$50.74,0.06%,No,No,-0.04%,0.05%,1.94%,N/A,N/A,"$109,991,569.75","$20,302,528.00","$20,302,528.00","$151,624,505.00","$159,177,810.50","$159,177,810.50",Mortgage Backed Securities,2019-04-15,0.16%,N/A,N/A,N/A,N/A,N/A,0.00,0.09,183,54.42%,39%,20%,1099,$50.72,$50.77,$50.72,$50.77,55.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPDN,Direxion Daily S&P 500 Bear 1x Shares,Equity,"$168,789,393.00",-17.77%,"204,077",$20.08,-0.84%,Yes,No,-3.83%,-4.29%,-25.09%,-35.61%,N/A,"$189,754,425.50",$0.00,"-$2,084,285.50","$196,153,942.50","$180,386,046.00","$179,885,982.62",Inverse Equities,2016-06-08,0.49%,N/A,$0.09,2020-03-24,$0.02,0.45%,0.00,-0.89,50,35.38%,39%,20%,1099,$20.08,$21.63,$20.02,$20.16,40.42,N/A,N/A,A-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,Bond,"$167,900,801.00",3.26%,"32,159",$27.03,-0.11%,No,No,-0.18%,-0.17%,3.50%,N/A,N/A,"$45,881,578.50",$0.00,"$13,534,273.50","$72,242,761.50","$160,900,534.50","$160,900,534.50",National Munis,2018-03-20,0.18%,N/A,$0.36,2020-10-01,$0.03,1.34%,0.00,0.05,956,5.80%,39%,20%,1099,$27.04,$27.11,N/A,N/A,44.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ULTR,IQ Ultra Short Duration ETF,Bond,"$166,028,637.00",0.25%,"29,182",$49.62,0.04%,No,No,0.18%,0.05%,0.89%,N/A,N/A,"$116,441,039.50","-$2,477,644.50","$12,397,321.50","$133,927,957.00","$136,429,671.00","$136,429,671.00",Total Bond Market,2019-07-31,0.24%,N/A,$0.91,2020-10-01,$0.05,1.84%,0.00,0.05,121,28.88%,39%,20%,1099,$49.51,$49.62,$49.59,$49.63,65.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JPGB,JPMorgan Global Bond Opportunities ETF,Bond,"$165,543,613.00",3.18%,"21,341",$50.62,-0.14%,No,No,-0.61%,-0.35%,3.91%,13.18%,N/A,"-$2,753,666.00",$0.00,$0.00,"-$23,011,702.00","$57,950,955.00","$143,953,171.00",Total Bond Market,2017-04-03,0.50%,N/A,$2.42,2020-09-01,$0.12,4.77%,0.00,0.20,10846,7.30%,39%,20%,1099,$50.66,$50.94,$50.53,$50.73,51.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.61,15.62%,26.16%,295.77,5.61%,1.04%
FLHY,Franklin Liberty High Yield Corporate ETF,Bond,"$164,690,252.00",3.06%,"6,220",$25.71,0.04%,No,No,1.20%,0.76%,6.13%,N/A,N/A,"$76,409,986.00","$1,263,167.00","$1,263,167.00","$97,832,580.00","$118,545,660.00","$118,545,660.00",High Yield Bonds,2018-05-30,0.40%,N/A,$1.56,2020-09-30,$0.12,6.12%,0.00,0.50,160,20.66%,39%,20%,1099,$25.07,$25.79,N/A,N/A,59.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.97,22.42%,6.12%,362.77,5.86%,3.16%
DXD,ProShares UltraShort Dow 30,Equity,"$164,430,963.00",-34.58%,"2,514,861",$14.73,-1.07%,Yes,2x,-6.54%,-7.24%,-43.75%,-63.23%,-82.35%,"$119,999,240.50","-$3,276,040.00","-$12,117,532.00","$100,411,150.50","$146,465,318.06","$265,951,531.70",Leveraged Equities,2006-07-11,0.95%,N/A,$0.13,2020-03-25,$0.04,0.86%,0.00,-1.65,30,53.26%,35%,15%,1099,$14.61,$16.90,$14.62,$14.86,40.08,A-,A,B-,A-,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NUBD,Nuveen ESG U.S. Aggregate Bond ETF,Bond,"$164,376,090.00",6.78%,"38,115",$26.84,0.11%,No,No,-0.19%,-0.56%,6.64%,15.94%,N/A,"$79,892,030.00",$0.00,"$13,513,170.00","$97,831,570.00","$117,337,050.00","$117,337,050.00",Total Bond Market,2017-09-29,0.20%,N/A,$0.63,2020-10-01,$0.05,2.34%,0.00,-0.02,210,64.38%,39%,20%,1099,$26.80,$27.03,N/A,N/A,43.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.72,96.30%,74.46%,231.04,1.68%,1.66%
IGEB,iShares Edge Investment Grade Enhanced Bond ETF,Bond,"$160,603,045.00",8.08%,"15,756",$54.59,0.18%,No,No,0.29%,-0.23%,9.66%,22.48%,N/A,"$63,560,325.00",$0.00,$0.00,"$66,185,866.50","$137,313,537.50","$137,313,537.50",Corporate Bonds,2017-07-11,0.18%,N/A,$2.74,2020-10-01,$0.12,5.04%,0.00,0.25,421,5.91%,39%,20%,1099,$54.15,$54.87,$54.50,$54.63,51.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.34,24.69%,35.85%,363.82,13.82%,5.74%
